logged_at_local,refresh_message,sort_order,wmo,name,local_date_time,local_date_time_full,aifstime_utc,air_temp,apparent_t,dewpt,rel_hum,delta_t,cloud,cloud_base_m,cloud_oktas,weather,wind_dir,wind_spd_kmh,gust_kmh,wind_spd_kt,gust_kt,press_qnh,press_msl,rain_trace,vis_km
2026-07-02 10:30:01,Issued at 10:23 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 10:40:01,Issued at 10:33 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 10:50:02,Issued at 10:43 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 10:56:03,Issued at 10:43 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 10:57:51,Issued at 10:53 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 11:00:01,Issued at 10:53 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 11:10:02,Issued at 11:03 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 11:20:02,Issued at 11:13 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 11:30:01,Issued at 11:23 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 11:40:01,Issued at 11:33 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 11:50:01,Issued at 11:43 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 12:00:02,Issued at 11:53 am EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 12:10:02,Issued at 12:03 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 12:20:02,Issued at 12:13 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 12:30:01,Issued at 12:23 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 12:40:01,Issued at 12:33 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 12:50:02,Issued at 12:43 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 13:00:02,Issued at 12:53 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 13:10:02,Issued at  1:03 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 13:20:01,Issued at  1:13 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 13:30:03,Issued at  1:23 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 13:40:02,Issued at  1:33 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 13:50:01,Issued at  1:43 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 14:00:01,Issued at  1:53 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 14:10:01,Issued at  2:03 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 14:20:02,Issued at  2:13 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 14:30:01,Issued at  2:23 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 14:40:01,Issued at  2:33 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 14:50:01,Issued at  2:43 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 15:00:01,Issued at  2:53 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
2026-07-02 15:10:02,Issued at  3:03 pm EST Thursday  2 July 2026,0,94764,Parramatta,02/09:00am,20260702090000,20260701230000,17.4,16.7,12.1,71,2.9,Clear,2500,0,Fine,NNW,7,,4,,,,2.0,20
